,SHB-441,로터리,일반,B,JKA,S,0,0,K,440,310,280,1535,592,,,#VALUE!,,,,,
,A231 외포장 박스,로터리,일반,B,KA180,S,0,0,K,442,220,364,1359,586,,,#VALUE!,,,,,
,SHB-451,로터리,일반,B,JKA,S,0,0,K,450,320,210,1575,532,,,#VALUE!,,,,,
,SHB-452,로터리,일반,B,JKA,S,0,0,K,450,320,254,1575,576,,,#VALUE!,,,,,
,SHB-453,로터리,일반,B,JKA,S,0,0,K,450,320,300,1575,622,,,#VALUE!,,,,,
,AP7 외포장 박스,로터리,일반,B,KA180,S,0,0,K,451,318,390,1573,710,,,#VALUE!,,,,,
,세화W 3호 외포장 박스,로터리,일반,B,KA180,S,0,0,K,452,318,461,1575,781,,,#VALUE!,,,,,
,세화W 9호 외포장 박스,로터리,일반,B,KA180,S,0,0,K,452,318,341,1575,661,,,#VALUE!,,,,,
,세화1호 외포장 박스,로터리,일반,B,KA180,S,0,0,K,457,318,368,1585,688,,,#VALUE!,,,,,
,SHB-461,로터리,일반,B,JKA,S,0,0,K,460,350,170,1655,522,,,#VALUE!,,,,,
,SHB-471,로터리,일반,B,JKA,S,0,0,K,470,330,300,1635,632,,,#VALUE!,,,,,
,SHB-472,로터리,일반,A,JKA,0,0,S,K,470,360,110,1695,472,,,#VALUE!,,,,,
,AP4 외포장 박스,로터리,일반,B,KA180,S,0,0,K,472,318,546,1615,864,,,#VALUE!,,,,,
,세화202 외포장 박스,로터리,일반,B,KA180,S,0,0,K,473,432,386,1845,820,,,#VALUE!,,,,,
,세화221 외포장 박스,로터리,일반,B,KA180,S,0,0,K,473,452,486,1885,940,,,#VALUE!,,,,,
,세화231 외포장 박스,로터리,일반,B,KA180,S,0,0,K,473,419,353,1819,774,,,#VALUE!,,,,,
,세화232 외포장 박스,로터리,일반,B,KA180,S,0,0,K,473,417,326,1815,745,,,#VALUE!,,,,,
,세화233 외포장 박스,로터리,일반,B,KA180,S,0,0,K,473,442,346,1865,790,,,#VALUE!,,,,,
,세화234 외포장 박스,로터리,일반,B,KA180,S,0,0,K,473,442,396,1865,840,,,#VALUE!,,,,,
,세화251 외포장 박스,로터리,일반,B,KA180,S,0,0,K,473,442,346,1865,790,,,#VALUE!,,,,,
,세화262 외포장 박스,로터리,일반,B,KA180,S,0,0,K,473,472,396,1925,870,,,#VALUE!,,,,,
,세화W 6호 외포장 박스,로터리,일반,B,KA180,S,0,0,K,477,318,426,1625,746,,,#VALUE!,,,,,
,세화W 8호 외포장 박스,로터리,일반,B,KA180,S,0,0,K,477,318,401,1625,721,,,#VALUE!,,,,,
,우체국5호,로터리,일반,BA,JKA,S,S,S,K,480,380,340,1755,724,,,#VALUE!,,,,,
